id,school_id,Number of Started Assigned Learning Activities,Number of Completed Assigned Learning Activities,Ratio of Completed Learning Activities to Assigned Learning Activities,Total Time in Completed Learning Activities,Average Time in Completed Learning Activities,Number of Exercise Activities,Number of Engagement Activities,Number of Comunication Activities,Number of Video Activities,Number of Game Activities,Number of Free Learning Activities,Number of Unique Free Learning Activities,Number of Started Learning Tracks,Number of Completed Learning Tracks,Total Time in Completed Learning Tracks,Average Time in Completed Learning Tracks,Number of Language Learning Tracks Started,Number of STEM Learning Tracks Started,Number of Music Learning Tracks Started,Number of Religion Learning Tracks Started,Number of Problems,Average Difficulty Rating,Average Fun Rating
10f5dbde-90c7-4d5f-9173-3b259877b756,9,1,1,0.125,5 days 17:35:43.511630,5 days 17:35:43.511630,0,0,0,0,1,0,0,1,0,,,0,0,1,0,0,,
261696a8-6919-4e93-826e-018c52c966f2,9,1,0,0.0,,,0,0,0,0,1,0,0,1,0,,,0,0,1,0,0,,
b32c42c7-b6e4-459f-a5f6-c3543276adb2,9,1,0,0.0,,,0,0,0,0,1,0,0,1,0,,,0,0,1,0,0,,
61b4c8a5-78dc-40ae-86ad-45708c2294ae,9,22,20,0.5405405405405406,14 days 02:13:43.596152,0 days 16:54:41.179807600,15,4,0,2,1,0,0,2,0,,,1,0,1,0,0,,3.6
02810d19-632a-4f0b-97fc-6cbfa98434b4,9,23,20,0.3125,2 days 02:31:08.375852,0 days 02:31:33.418792600,13,7,0,2,1,0,0,3,0,,,2,0,1,0,0,,4.076923076923077
2721b6de-6eb1-4775-bbf6-b1a06fdaa451,9,14,14,0.32558139534883723,30 days 01:02:19.143409,2 days 03:30:09.938814928,7,4,1,1,1,0,0,2,0,,,1,0,1,0,14,,4.2727272727272725
390cc08d-921a-4432-a0b0-98aefbc6d433,9,36,36,0.8372093023255814,37 days 00:38:09.417346,1 days 00:41:03.594926277,24,6,1,4,1,0,0,2,2,37 days 01:23:50.455000,18 days 12:41:55.227500,1,0,1,0,1,,3.5
2493f3f5-6aa0-46c5-b226-05c4d7317d3e,9,28,27,0.421875,0 days 02:25:45.074400,0 days 00:05:23.891644444,19,6,0,2,1,0,0,3,0,,,2,0,1,0,0,,2.8095238095238093
18e2f949-3fe1-4b6c-8638-fa7cf4fd69ed,9,31,31,0.7209302325581395,43 days 23:42:10.733813,1 days 10:03:17.765606870,20,6,1,3,1,0,0,2,1,8 days 23:18:47.946000,8 days 23:18:47.946000,1,0,1,0,1,,3.5517241379310347
315410d6-497f-46b6-ad98-341b7e2192fb,9,33,32,0.7441860465116279,15 days 20:20:49.347736,0 days 11:53:09.042116750,22,6,1,3,1,0,0,2,1,8 days 23:33:58.626000,8 days 23:33:58.626000,1,0,1,0,7,,3.892857142857143
